,pib,renda,renda_per_capita,indice_consumidor,indice_produtor,taxa_cambio,taxa_desemprego,taxa_emprego,populacao_economicamente_ativa,rendimento_medio_trabalhadores,exportacoes,importacoes,saldo_comercial,cobertura_comercial,divida_publica,despesa_fiscal,taxa_alfabetizacao,taxa_matricula_educacao,gastos_educacao,inflacao
1991-01-01,407729053018.907,398591907568.412,2810,0.00475620651227255,0.00475620651227255,0.000175961443086024,6.366,59.579,63620325,,8.67763659887868,7.91444116378595,0.7631954350927295,0.763195435092725,,,,,,432.786661926461
1990-01-01,464989098144.854,452628375888.526,2590,0.00089270375032944,0.00089270375032944,2.95572678942699e-05,,,62129127,5.5,8.19723805886395,6.95836495806649,1.238873100797461,1.23887310079746,,,,,,2947.73277248299
2030-01-01,559983704075.658,541802025589.408,3330,56.1249316036127,56.1249316036127,2.34963170932244,10.65,57.741,81451849,6.0,12.37171066993,14.564574352134,-2.192863682204001,-2.19286368220403,,,,98.85493,3.84468007087708,6.84035902487525
2030-01-02,464989098144.854,452628375888.526,2590,0.00089270375032944,0.00089270375032944,2.95572678942699e-05,,,62129127,5.5,8.19723805886395,6.95836495806649,1.238873100797461,1.23887310079746,,,,,,2947.73277248299
2030-01-03,863711007338.683,845870879407.158,4920,46.8008952735922,46.8008952735922,1.16051666666667,10.15,56.923,74794611,5.8,7.03050033871807,9.40808459248784,-2.377584253769771,-2.37758425376977,,,,,4.75665998458862,3.19507629280056
2030-01-04,390566561752.671,383198942651.176,2760,0.0500334876739342,0.0500334876739342,0.00195302352248811,6.42,59.646,65276714,7.1,10.8683116605935,8.38506312730241,2.483248533291091,2.48324853329106,,,,,,951.962053052818
2030-01-05,509795270707.268,492692609464.012,3080,60.8675805806435,60.8675805806435,2.92036301775519,10.64,58.525,84252471,6.1,14.2305902713775,13.3877671308534,0.8428231405241,0.842823140524155,,,,96.72741,3.75037002563477,8.4501643770833
2030-01-06,2616156606734.51,2548929316525.27,11040,106.636449622131,106.636449622131,1.67282875525659,7.58,58.477,94948394,7.5,11.5825126759958,12.3518925016143,-0.7693798256185005,-0.769379825618512,59.3416583014604,31.3064734506666,91.4112396240234,95.69718,5.73741006851196,6.63644962213085
2030-01-07,1873288159000.64,1822994351083.46,9220,167.397860280061,167.397860280061,3.9444710972507,12.05,56.569,107415119,7.3,14.1229191903622,14.7673386789326,-0.6444194885703993,-0.644419488570441,92.5652531882782,34.7874528376371,,,5.96346998214722,3.73297621216894
2030-01-08,1666996294324.76,1630109870650.92,8300,95.2029817480311,95.2029817480311,1.99942817314426,9.42,59.604,95703669,7.2,10.851371134098,11.2546044676086,-0.40323333351059887,-0.403233333510611,,,90.298210144043,96.58508,5.46355009078979,4.88803479876804
2030-01-09,2472819362259.0,2438459112657.73,12750,119.372104441451,119.372104441451,2.15608915126311,7.07,59.215,98532617,7.5,11.7422306432624,14.0437266822704,-2.301496039007999,-2.30149603900804,57.228409380258,30.8363376486568,91.4842376708984,97.32389,5.8388500213623,6.204310666401
2030-01-10,390566561752.671,383198942651.176,2760,0.0500334876739342,0.0500334876739342,0.00195302352248811,6.42,59.646,65276714,7.1,10.8683116605935,8.38506312730241,2.483248533291091,2.48324853329106,,,,,,951.962053052818
2030-01-11,863711007338.683,845870879407.158,4920,46.8008952735922,46.8008952735922,1.16051666666667,10.15,56.923,74794611,5.8,7.03050033871807,9.40808459248784,-2.377584253769771,-2.37758425376977,,,,,4.75665998458862,3.19507629280056
2030-01-12,464989098144.854,452628375888.526,2590,0.00089270375032944,0.00089270375032944,2.95572678942699e-05,,,62129127,5.5,8.19723805886395,6.95836495806649,1.238873100797461,1.23887310079746,,,,,,2947.73277248299
2030-01-13,558233724160.742,540518512988.876,2980,69.8241962003048,69.8241962003048,3.07747511847801,11.17,58.053,85732532,6.2,15.1807837086861,12.9596010144732,2.2211826942128994,2.22118269421297,,,,94.29506,,14.7149197228147
